Table: Table_1

Date ,Account ,Description ,Hotel ,Transport ,Fuel ,Meals ,Phone ,Entertainment ,Misc ,Total ,
3-Nov-z6 ,A-og8 ,Travelingtola ,Skyview ,Airplane ,$ ,$ 200.00 ,$ 150.00 ,$ 50.00 ,$ 25.00 ,$ 825.00 ,
3-Nov-z5 ,A-og& ,Travelingtola ,Skyview ,Airplane ,$ ,$ 200.00 ,$ 150.00 ,$ 50.00 ,,$ Soo.co ,
3-Nov-z5 ,A-og& ,Traveling to LA ,Skyview ,Airplane ,$ ,$ 200.00 ,$ 150.00 ,$ 50.00 ,,$ 8co.co ,
3-Nov-z5 ,A-og& ,Traveling to LA ,Skyview ,Airplane ,$ - ,$ 200.00 ,$ 150.00 ,$ 50.00 ,,$ Soo.co ,
3-Nov-z6 3-Nov-z6 ,A-og& A-og8 ,Traveling to LA Traveling to LA ,Skyview Skyview ,Airplane Airplane ,$ - $ - ,$ 200.00 $ 200.00 ,$ 150.00 $ 150.00 ,$ 50.00 $ 50.00 ,,$ 8co.co $ 400.00 ,
,,,,,,,,,,$ - ,
,,,,,,,,,,$ - ,
,,,,,,,,,,$ - ,
,,,,,,,,,,$ - ,
,,,,,,,,,,$ - ,
,,,,,,,,,,$ - ,
,,,,,,,,,,$ 2.425.00 ,
Total ,,,$ - ,$ - ,$ - ,$1,200.00 ,$ 900.00 ,$ 300.00 ,$ 25.00 ,$ 6,850.00 ,
,,,,,,,,Cash ,Subtotal Advances ,$ 6,850.00 ,
APPROVED: ,,,,NOTES: ,,,,,Total ,$ 6,850.00 ,





